Layer,Code,Parent Account,Name,Type,,active,pending,state
Layer 5,13206011,13206,Regular Savings Deposit,Liabilities: Customer Accounts,Savings Bank Account,True,False,approve
Layer 5,13206012,13206,MTB Regular Savings Staff,Liabilities: Customer Accounts,Savings Bank Account,True,False,approve
Layer 5,13206013,13206,MTB Payroll Premium,Liabilities: Customer Accounts,Savings Bank Account,True,False,approve
Layer 5,13206014,13206,MTB Payroll eSavers,Liabilities: Customer Accounts,Savings Bank Account,True,False,approve
Layer 5,13206015,13206,MTB Payroll Saver,Liabilities: Customer Accounts,Savings Bank Account,True,False,approve
Layer 5,13206016,13206,MTB Children Education Deposit Scheme,Liabilities: Customer Accounts,Savings Bank Account,True,False,approve
Layer 5,13206901,13206,MTB Inspire (DST),Liabilities: Customer Accounts,Savings Bank Account,True,False,approve
Layer 5,13206902,13206,MTB Senior (DST),Liabilities: Customer Accounts,Savings Bank Account,True,False,approve
Layer 5,13206903,13206,MTB Ruby (DST),Liabilities: Customer Accounts,Savings Bank Account,True,False,approve
Layer 5,13206904,13206,Savings Deposit (DST),Liabilities: Customer Accounts,Savings Bank Account,True,False,approve
Layer 5,13206905,13206,MTB Graduate (DST),Liabilities: Customer Accounts,Savings Bank Account,True,False,approve
Layer 5,13206906,13206,MTB JUNIOR (DST),Liabilities: Customer Accounts,Savings Bank Account,True,False,approve
Layer 5,13207001,13207,SB Resident Foreign Currency Deposit (RFCD)_USD,Liabilities: Customer Accounts,Savings Bank Account <FC>,True,False,approve
Layer 5,13207011,13207,FC PRIVATE FOREIGN CURRENCY ACCOUNT (PFC) INCLUDING DFC & RBN_USD,Liabilities: Customer Accounts,Savings Bank Account <FC>,True,False,approve
Layer 5,13208001,13208,MTB Gift Cheque,Liabilities: Office Accounts,Other Deposit product,True,False,approve
Layer 5,13301001,13301,Current Deposits from other Bank,Liabilities: Customer Accounts,Current Deposits from other Bank,True,False,approve
Layer 5,13302001,13302,Current Deposits from NBFI,Liabilities: Customer Accounts,Current Deposits from NBFI,True,False,approve
Layer 5,13401001,13401,Bank Deposits -FD <BDT>,Liabilities: Customer Accounts,Bank Deposits -FD,True,False,approve
Layer 5,13401002,13401,Bank Deposits -SND,Liabilities: Customer Accounts,Bank Deposits -FD,True,False,approve
Layer 5,13402001,13402,NBFI Deposits -FD,Liabilities: Customer Accounts,NBFI Deposits -FD,True,False,approve
Layer 5,13501001,13501,Interest Payable MTB Probaho,Interest Payable Accounts,Interest Payable on Current Deposits,True,False,approve
Layer 5,13601001,13601,Interest Payable on MTB Buniad,Interest Payable Accounts,Interest Payable on TD Accounts,True,False,approve
Layer 5,13601002,13601,Interest Payable on NRB Fixed Deposit,Interest Payable Accounts,Interest Payable on TD Accounts,True,False,approve
Layer 5,13601003,13601,Interest Payable on Term Deposit General,Interest Payable Accounts,Interest Payable on TD Accounts,True,False,approve
Layer 5,13601004,13601,Interest Payable on Term Deposit Monthly Benefit Plan,Interest Payable Accounts,Interest Payable on TD Accounts,True,False,approve
Layer 5,13601901,13601,Interest Payable on Best Investment TERM DEPOSIT,Interest Payable Accounts,Interest Payable on TD Accounts,True,False,approve
Layer 5,13601902,13601,IP on MTB Quarterly Benefit Plan,Interest Payable Accounts,Interest Payable on TD Accounts,True,False,approve
Layer 5,13602001,13602,IP MTB Ankur,Interest Payable Accounts,Interest Payable on Savings Bank Accounts,True,False,approve
Layer 5,13602002,13602,IP MTB Ruby,Interest Payable Accounts,Interest Payable on Savings Bank Accounts,True,False,approve
Layer 5,13602003,13602,IP MTB Graduate,Interest Payable Accounts,Interest Payable on Savings Bank Accounts,True,False,approve
Layer 5,13602004,13602,IP MTB Junior,Interest Payable Accounts,Interest Payable on Savings Bank Accounts,True,False,approve
Layer 5,13602005,13602,IP MTB Privilege Saving,Interest Payable Accounts,Interest Payable on Savings Bank Accounts,True,False,approve
Layer 5,13602006,13602,Interest Payable on NRB Savings Account,Interest Payable Accounts,Interest Payable on Savings Bank Accounts,True,False,approve
Layer 5,13602007,13602,IP MTB Senior,Interest Payable Accounts,Interest Payable on Savings Bank Accounts,True,False,approve
Layer 5,13602008,13602,IP on MTB Inspire,Interest Payable Accounts,Interest Payable on Savings Bank Accounts,True,False,approve
Layer 5,13602009,13602,IP on MTB Shanchay,Interest Payable Accounts,Interest Payable on Savings Bank Accounts,True,False,approve
Layer 5,13602010,13602,IP on MTB Care,Interest Payable Accounts,Interest Payable on Savings Bank Accounts,True,False,approve
Layer 5,13602011,13602,IP on Regular Savings Deposit,Interest Payable Accounts,Interest Payable on Savings Bank Accounts,True,False,approve
Layer 5,13602012,13602,Interest Payable on MTB REGULAR SAVINGS STAFF,Interest Payable Accounts,Interest Payable on Savings Bank Accounts,True,False,approve
Layer 5,13602013,13602,Interest Payable on MTB Payroll Premium,Interest Payable Accounts,Interest Payable on Savings Bank Accounts,True,False,approve
Layer 5,13602014,13602,Interest Payable on MTB Payroll eSavers,Interest Payable Accounts,Interest Payable on Savings Bank Accounts,True,False,approve
Layer 5,13602015,13602,Interest Payable on MTB Payroll Saver,Interest Payable Accounts,Interest Payable on Savings Bank Accounts,True,False,approve
Layer 5,13602016,13602,Interest Payable on MTB Children Education Deposit Scheme,Interest Payable Accounts,Interest Payable on Savings Bank Accounts,True,False,approve
Layer 5,13602901,13602,Interest Payable on MTB Inspire (DST),Interest Payable Accounts,Interest Payable on Savings Bank Accounts,True,False,approve
Layer 5,13602903,13602,Interest Payable on MTB Ruby (DST),Interest Payable Accounts,Interest Payable on Savings Bank Accounts,True,False,approve
Layer 5,13602904,13602,Interest Payable on Savings Deposit (DST),Interest Payable Accounts,Interest Payable on Savings Bank Accounts,True,False,approve
Layer 5,13602905,13602,Interest Payable on MTB Graduate (DST),Interest Payable Accounts,Interest Payable on Savings Bank Accounts,True,False,approve
Layer 5,13602906,13602,Interest Payable on MTB JUNIOR (DST),Interest Payable Accounts,Interest Payable on Savings Bank Accounts,True,False,approve
Layer 5,13603001,13603,Interest payable on RD Brick-by-Brick,Interest Payable Accounts,Interest payable on Recurring Deposit,True,False,approve
Layer 5,13603002,13603,Interest payable on RD MTB Educational Plan,Interest Payable Accounts,Interest payable on Recurring Deposit,True,False,approve
Layer 5,13603003,13603,Interest payable on RD Kotipati,Interest Payable Accounts,Interest payable on Recurring Deposit,True,False,approve
Layer 5,13603004,13603,Interest payable on RD Millionnaire Plan,Interest Payable Accounts,Interest payable on Recurring Deposit,True,False,approve
Layer 5,13603005,13603,Interest payable on RD NRB,Interest Payable Accounts,Interest payable on Recurring Deposit,True,False,approve
Layer 5,13603901,13603,SAVE EVERY DAY DEPOSIT A/C,Interest Payable Accounts,Interest payable on Recurring Deposit,True,False,approve
