,Name,Parent,sequence,sign,type,style_overwrite
24501905,IR on Auto Loan (Old),Interest Receivable on RTL,16,Preserve balance sign,Accounts,
24502,Interest Receivable on Staff Loans,Interest Receivable,1,Preserve balance sign,View,
24502001,Interest Receivable on Car Loan (Employee),Interest Receivable on Staff Loans,0,Preserve balance sign,Accounts,
24502002,Interest Receivable on Employees House Building Loan,Interest Receivable on Staff Loans,1,Preserve balance sign,Accounts,
24502003,Interest Receivable on Staff Loan Aganist Prov. Fund,Interest Receivable on Staff Loans,2,Preserve balance sign,Accounts,
24502004,Interest Receivable on Staff Loan Personal Loan,Interest Receivable on Staff Loans,3,Preserve balance sign,Accounts,
24503,Interest Reeceivable on C&S Term Loan,Interest Receivable,2,Preserve balance sign,View,
24503001,Interest Receivable on House Building Loan <Developer>,Interest Reeceivable on C&S Term Loan,0,Preserve balance sign,Accounts,
24503002,Lease Finance (Monthly) Rental receivables,Interest Reeceivable on C&S Term Loan,1,Preserve balance sign,Accounts,
24503003,Lease Finance (Quarterly) Rental receivables,Interest Reeceivable on C&S Term Loan,2,Preserve balance sign,Accounts,
24503004,Interest Receivable on House Building Loan <Commercial>,Interest Reeceivable on C&S Term Loan,3,Preserve balance sign,Accounts,
24503005,Interest Receivable on Term Loan Non-Industrial,Interest Reeceivable on C&S Term Loan,4,Preserve balance sign,Accounts,
24503006,Interest Receivable on Term Loan Industrial,Interest Reeceivable on C&S Term Loan,5,Preserve balance sign,Accounts,
24503007,Interest Receivable on House Building Loan-Residential [C&S],Interest Reeceivable on C&S Term Loan,6,Preserve balance sign,Accounts,
24503008,Interest Receivable on Term Loan-IPFF Fund,Interest Reeceivable on C&S Term Loan,7,Preserve balance sign,Accounts,
24503009,Interest Receivable on Term Loan-LTFF,Interest Reeceivable on C&S Term Loan,8,Preserve balance sign,Accounts,
24503010,Interest Receivable on Term Loan-by OBU USD,Interest Reeceivable on C&S Term Loan,9,Preserve balance sign,Accounts,
24503011,IR on Converted Term Loan fm Term Loan [C&S],Interest Reeceivable on C&S Term Loan,10,Preserve balance sign,Accounts,
24503012,IR on Converted Term Loan fm DL & Continuous Loan [C&S],Interest Reeceivable on C&S Term Loan,11,Preserve balance sign,Accounts,
24504,Interest Receivable on SME Term Loan excl Agri & MF,Interest Receivable,3,Preserve balance sign,View,
24504001,Interest Receivable on MTB Digoon,Interest Receivable on SME Term Loan excl Agri & MF,0,Preserve balance sign,Accounts,
24504002,Interest Receivable on Small Business Loan Scheme,Interest Receivable on SME Term Loan excl Agri & MF,1,Preserve balance sign,Accounts,
24504003,Interest Receivable on MTB Life Line,Interest Receivable on SME Term Loan excl Agri & MF,0,Preserve balance sign,View,
24504004,Interest Receivable on Micro-finance <Ent.-TL>,Interest Receivable on SME Term Loan excl Agri & MF,0,Preserve balance sign,View,
24504005,Interest Receivable on MTB Inclusive Finance,Interest Receivable on SME Term Loan excl Agri & MF,4,Preserve balance sign,Accounts,
24504006,Interest Receivable on MTB Bhagyaboti <Re-finance>,Interest Receivable on SME Term Loan excl Agri & MF,5,Preserve balance sign,Accounts,
24504007,Interest Receivable on MTB Gunaboti <Pre-finance>,Interest Receivable on SME Term Loan excl Agri & MF,6,Preserve balance sign,Accounts,
24504008,Interest Receivable on MTB Green Energy,Interest Receivable on SME Term Loan excl Agri & MF,7,Preserve balance sign,Accounts,
24504009,Interest Receivable on MTB IT Geniuos,Interest Receivable on SME Term Loan excl Agri & MF,8,Preserve balance sign,Accounts,
24504010,Interest Receivable on MTB Krishijat,Interest Receivable on SME Term Loan excl Agri & MF,9,Preserve balance sign,Accounts,
24504011,Interest Receivable on MTB Light Engineering,Interest Receivable on SME Term Loan excl Agri & MF,10,Preserve balance sign,Accounts,
24504012,IR on MTB Small Business Loan Scheme Unsecured,Interest Receivable on SME Term Loan excl Agri & MF,11,Preserve balance sign,Accounts,
24504013,Interest Receivable on MTB Youth Line,Interest Receivable on SME Term Loan excl Agri & MF,12,Preserve balance sign,Accounts,
24504014,Interest Receivable on MTB Green Energy Unsecured,Interest Receivable on SME Term Loan excl Agri & MF,13,Preserve balance sign,Accounts,
