id,location_id/id,name,company_id/id,line_ids/product_id/id,line_ids/product_qty,line_ids/product_uom_id/id,line_ids/location_id/id
,,,,__export__.product_product_25008,1550,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_25009,900,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_25010,1550,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_25011,120,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_25012,175,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_25013,120,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_25014,120,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_25015,120,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_25016,120,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_25017,120,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_25018,120,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_25019,120,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_25020,120,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_25021,120,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_25022,2650,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_25023,2450,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_25024,2450,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_25025,2950,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_25026,2950,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_25027,2650,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_25028,2550,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_25029,550,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_25030,1200,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_25031,900,product.product_uom_unit,__export__.stock_location_37
,,,,__export__.product_product_25032,0,product.product_uom_unit,__export__.stock_location_37
