id,name,product_variant_ids/id,id,line_ids/product_qty,type,uom_po_id/id,uom_id/id,line_ids/product_qty
__export__.product_product_24958,Skinfood premium tomato whitening cream,__export__.product_product_24958,__export__.product_product_24958,1400,product,product.product_uom_unit,product.product_uom_unit,1400
__export__.product_product_24959,Skinfood premium tomato whitening emulsion,__export__.product_product_24959,__export__.product_product_24959,1350,product,product.product_uom_unit,product.product_uom_unit,1350
__export__.product_product_24960,Skinfood premium tomato whitening emulsion,__export__.product_product_24960,__export__.product_product_24960,1350,product,product.product_uom_unit,product.product_uom_unit,1350
__export__.product_product_24961,Skinfood premium tomato whitening moisture synergy,__export__.product_product_24961,__export__.product_product_24961,1550,product,product.product_uom_unit,product.product_uom_unit,1550
__export__.product_product_24962,Skinfood Rice Brightening Cleansing Foam,__export__.product_product_24962,__export__.product_product_24962,2150,product,product.product_uom_unit,product.product_uom_unit,2150
__export__.product_product_24963,Skinfood rice brightening scrub foam,__export__.product_product_24963,__export__.product_product_24963,1200,product,product.product_uom_unit,product.product_uom_unit,1200
__export__.product_product_24964,Skinfood rice mask,__export__.product_product_24964,__export__.product_product_24964,1150,product,product.product_uom_unit,product.product_uom_unit,1150
__export__.product_product_24965,Skinfood royal honey essential queen's serum,__export__.product_product_24965,__export__.product_product_24965,750,product,product.product_uom_unit,product.product_uom_unit,750
__export__.product_product_24966,Skinfood salmon brightening  eye cream,__export__.product_product_24966,__export__.product_product_24966,2050,product,product.product_uom_unit,product.product_uom_unit,2050
__export__.product_product_24967,Skinfood strawberry black sugar mask,__export__.product_product_24967,__export__.product_product_24967,1550,product,product.product_uom_unit,product.product_uom_unit,1550
__export__.product_product_24968,Sparkling Squeaky (Face Cleanser) ,__export__.product_product_24968,__export__.product_product_24968,0,product,product.product_uom_unit,product.product_uom_unit,0
__export__.product_product_24969,Stay Sunny (Sun Block) ,__export__.product_product_24969,__export__.product_product_24969,0,product,product.product_uom_unit,product.product_uom_unit,0
__export__.product_product_24970,Mua 3in1 extreme contour liner,__export__.product_product_24970,__export__.product_product_24970,0,product,product.product_uom_unit,product.product_uom_unit,0
__export__.product_product_24971,Mua Artiste collection Eyeshadow palette,__export__.product_product_24971,__export__.product_product_24971,750,product,product.product_uom_unit,product.product_uom_unit,750
__export__.product_product_24972,Mua cover & Conceal,__export__.product_product_24972,__export__.product_product_24972,1700,product,product.product_uom_unit,product.product_uom_unit,1700
__export__.product_product_24973,Mua Eyelash,__export__.product_product_24973,__export__.product_product_24973,450,product,product.product_uom_unit,product.product_uom_unit,450
__export__.product_product_24974,Mua Eyeshadow(Single),__export__.product_product_24974,__export__.product_product_24974,0,product,product.product_uom_unit,product.product_uom_unit,0
__export__.product_product_24975,Mua Hide & Conceal,__export__.product_product_24975,__export__.product_product_24975,250,product,product.product_uom_unit,product.product_uom_unit,250
__export__.product_product_24976,Mua Lip Balm,__export__.product_product_24976,__export__.product_product_24976,450,product,product.product_uom_unit,product.product_uom_unit,450
__export__.product_product_24977,Mua Lipstick,__export__.product_product_24977,__export__.product_product_24977,450,product,product.product_uom_unit,product.product_uom_unit,450
