Layer,Code,Name,Type,Parent Account,active,pending,state
Layer 5,13605002,IP FC FD Ind OBU,Interest Payable Accounts,Interest Payable on Term Deposits FC,True,False,approve
Layer 5,13605003,IP FC FD Inst OBU,Interest Payable Accounts,Interest Payable on Term Deposits FC,True,False,approve
Layer 5,13606001,Interest Payable on SB Personal Foreign Currency Account USD,Interest Payable Accounts,Interest Payable on Savings Bank Accounts FC,True,False,approve
Layer 5,13606002,Interest Payable on SBResident Foreign Currency USD,Interest Payable Accounts,Interest Payable on Savings Bank Accounts FC,True,False,approve
Layer 5,13607001,IP RTD Double Benefit Scheme,Interest Payable Accounts,Interest payable on Term Deposits Reinvestments,True,False,approve
Layer 5,13607002,IP Reinvestment Term Deposits General,Interest Payable Accounts,Interest payable on Term Deposits Reinvestments,True,False,approve
Layer 5,13607003,IP RTD MTB Buniad,Interest Payable Accounts,Interest payable on Term Deposits Reinvestments,True,False,approve
Layer 5,13607004,Interest payable on Reinvestment Term Deposit NRB,Interest Payable Accounts,Interest payable on Term Deposits Reinvestments,True,False,approve
Layer 5,13607901,Interest payable MTB DOUBLE SAVER (DST),Interest Payable Accounts,Interest payable on Term Deposits Reinvestments,True,False,approve
Layer 5,13607902,Interest payable MTB TRIPLE SAVER PLAN,Interest Payable Accounts,Interest payable on Term Deposits Reinvestments,True,False,approve
Layer 5,13607903,Interest Payable Fixed Deposit (DST),Interest Payable Accounts,Interest payable on Term Deposits Reinvestments,True,False,approve
Layer 5,13607904,Interest Payable MTB 1.5 Times Benefit Plan,Interest Payable Accounts,Interest payable on Term Deposits Reinvestments,True,False,approve
Layer 5,13608001,Interest Payable on MTB Gift Cheque,Interest Payable Accounts,Interest Payable on Other Deposit Products,True,False,approve
Layer 5,13701001,Interest Payable on Bank Deposits (Time Deposit),Interest Payable Accounts,Interest Payable on Bank Deposits,True,False,approve
Layer 5,13701002,Interest Payable on Bank Deposits (SND),Interest Payable Accounts,Interest Payable on Bank Deposits,True,False,approve
Layer 5,13702001,Interest Payable on NBFI Term Deposits,Interest Payable Accounts,Interest Payable on NBFI Deposits,True,False,approve
Layer 5,13801001,P O Issued,Liabilities: Office Accounts,Bills Payable,True,False,approve
Layer 5,13801002,P.S. Issued,Liabilities: Office Accounts,Bills Payable,True,False,approve
Layer 5,13801003,DD Payable,Liabilities: Office Accounts,Bills Payable,True,False,approve
Layer 5,13801004,T.T. Payable,Liabilities: Office Accounts,Bills Payable,True,False,approve
Layer 5,13801005,M.T. Payable,Liabilities: Office Accounts,Bills Payable,True,False,approve
Layer 5,14102001,Interest Payable on Subordinated Bond,Interest Payable Accounts,Interest on Subordinated Bond,True,False,approve
Layer 5,14202001,Interest Payable on Other Bond,Interest Payable Accounts,Interest on Other Bond,True,False,approve
