Layer,Code,Name,Parent Account,,Type,active,pending,state
Layer 5,13201901,Best Investment TERM DEPOSIT,13201,Term Deposits,Liabilities: Customer Accounts,True,False,approve
Layer 5,13201902,MTB Quarterly Benefit Plan,13201,Term Deposits,Liabilities: Customer Accounts,True,False,approve
Layer 5,13202001,Reinvestment Term Deposit MTB Buniad,13202,Term Deposits Reinvestments,Liabilities: Customer Accounts,True,False,approve
Layer 5,13202002,Reinvestment Term Deposits General,13202,Term Deposits Reinvestments,Liabilities: Customer Accounts,True,False,approve
Layer 5,13202003,Reinvestment Term Deposit Double Benefit Scheme,13202,Term Deposits Reinvestments,Liabilities: Customer Accounts,True,False,approve
Layer 5,13202004,Reinvestment Term Deposit NRB,13202,Term Deposits Reinvestments,Liabilities: Customer Accounts,True,False,approve
Layer 5,13202901,MTB DOUBLE SAVER (DST),13202,Term Deposits Reinvestments,Liabilities: Customer Accounts,True,False,approve
Layer 5,13202902,MTB TRIPLE SAVER PLAN,13202,Term Deposits Reinvestments,Liabilities: Customer Accounts,True,False,approve
Layer 5,13202903,FIXED DEPOSIT (DST),13202,Term Deposits Reinvestments,Liabilities: Customer Accounts,True,False,approve
Layer 5,13202904,MTB 1.5 Times Benefit Plan,13202,Term Deposits Reinvestments,Liabilities: Customer Accounts,True,False,approve
Layer 5,13203001,RD Brick-by-Brick,13203,Recurring Deposit,Liabilities: Customer Accounts,True,False,approve
Layer 5,13203002,RD MTB Educational Plan,13203,Recurring Deposit,Liabilities: Customer Accounts,True,False,approve
Layer 5,13203003,RD Kotipati,13203,Recurring Deposit,Liabilities: Customer Accounts,True,False,approve
Layer 5,13203004,RD Millionnaire Plan,13203,Recurring Deposit,Liabilities: Customer Accounts,True,False,approve
Layer 5,13203005,RD NRB,13203,Recurring Deposit,Liabilities: Customer Accounts,True,False,approve
Layer 5,13203901,SAVE EVERY DAY DEPOSIT A/C,13203,Recurring Deposit,Liabilities: Customer Accounts,True,False,approve
